date	ABW	AND	AFG	AGO	ALB	ARB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	EAP	EAS	ECA	ECS	ECU	EGY	EMU	ERI	ESP	EST	ETH	EUU	FCS	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HIC	HKG	HND	HPC	HRV	HTI	HUN	IDN	IMN	IND	INX	IRL	IRN	IRQ	ISL	ISR	ITA	JAM	JOR	JPN	KAZ	KEN	KGZ	KHM	KIR	KNA	KOR	KSV	KWT	LAC	LAO	LBN	LBR	LBY	LCA	LCN	LDC	LIC	LIE	LKA	LMC	LMY	LSO	LTU	LUX	LVA	MAC	MAF	MAR	MCO	MDA	MDG	MDV	MEA	MEX	MHL	MIC	MKD	MLI	MLT	MMR	MNA	MNE	MNG	MNP	MOZ	MRT	MUS	MWI	MYS	NAC	NAM	NCL	NER	NGA	NIC	NLD	NOC	NOR	NPL	NZL	OEC	OED	OMN	OSS	PAK	PAN	PER	PHL	PLW	PNG	POL	PRI	PRK	PRT	PRY	PSS	PYF	QAT	ROU	RUS	RWA	SAS	SAU	SDN	SEN	SGP	SLB	SLE	SLV	SMR	SOM	SRB	SSA	SSD	SSF	SST	STP	SUR	SVK	SVN	SWE	SWZ	SXM	SYC	SYR	TCA	TCD	TGO	THA	TJK	TKM	TLS	TON	TTO	TUN	TUR	TUV	TZA	UGA	UKR	UMC	URY	USA	UZB	VCT	VEN	VIR	VNM	VUT	PSE	WLD	WSM	YEM	ZAF	COD	ZMB	ZWE
1/1/1960			50690800					527233600				892781999.9	720945600			1526945820											6715418.4	349848800						2012986400		2361508000		111781600			19240000	5060000	171352400			13460727.6					27400000		7083840800			287547600	25973200	265802800					41077600	266967600			544061600		52749600			268364400		2300194000			9500000	3767016800		277926000					242101200			54422360		14740000			13320360			4300000		352739200		674536630.9		324568724	185218400	259340000	12332400	213156800	3288591200	69200000	46380000	1953371600							157015600		71700000			140193600		82390000						101260000									206112400						444341600					59300000	121690000							17120000		356000000					343000000	11736000	1885730632		308178400	19273663.6	287599928.8					327400600	7430000	76811599.99	126942400						644276000	1011709.2								185058400	166600000		115000000		27200000	33573600									17501597.91			530439200				28330800		12240000		373373600					23600000	84451418.4	205127600						191463600	19664163998			615486000								272204000	62509200
1/1/1961			42444500					386407550				1320041500	847058100			1819222318											7404270.65	471156150						2296085100		2769871000		74114900			20300000	3160000	140367100			6263920.65					44700000		7180500799			282882350	9022900	311729450					38397350	203625200			887873550		54880450			271171000		3374550000			10700000	3327714600		155954000					267482900			54840555		15090000			12328965			3000000		133183550		666357094.9		342337293.5	209547100	217949700	23919350	279512900	3809235500	76100000	51230000	1667124550							207046580		83886000			161550900		86960000						90000000									185269350						413480000					59300000	94989999.99							18340000		349000000					307070650	13526650	1962252519		303430200	24149979.65	180797777.6					261302470	4930000	110623100	53690649.99						552944500	2520352.9								238033550	152700000		123000000		27800000	24551105									16262115.63			735316449.9				21086450		7690000		454901550					26300000	73314576.45	195570000						191754650	18825529998			581329000								394839500	15007100
1/1/1962			40592100					114741240				1358960800	1081957340			1756067570	10700000	14100000									4005989.98	336000900					600000	2561922010		2924334000		78890610		37700000	27710000	8380000	85129030			12599154.97					52350000		6964883189			255803820	19716020	185716410					43348220	223227760			1045887990		63501370			236691800		4053563699			11250000	3313161730		181711200					286669630			45884575		15090000			13298717			2200000		108100020		512791844		359296150.3	210768020	193445580	31917030	419626970	4072606720	74200000	58050000	2021337500							168650269.9		97298000			206563420		96165600						85000000									174203030			48000000			427198020				10600000	66700000	154184000						7900000	18550000		379546300				9400000	289024970	17241260	1946625625		303975970	24045769.17	250806530.8					269316859	4830000	116734780	75066970						681042200	2140170.019								267921030	145700000	78100000	165000000		31800000	26364137									15778756.36			801886969.9				33043010		10300000	10200000	523663390					23300000	58506805.01	190280000						202874030	17252463898			583412200								647247499.9	12087170
1/1/1963			45547800					269807440				1842726000	1229910840			1973351171	10700000	15400000									10404576.44	355042320					1760000	2615182920		3128395600		76908080		42300000	34880000	1690000	87126680			15619750.68					65750000		7659475439			470635320	41966880	237218040					51632720	216277440			1148505160		50180520			283493480		4914646799			7660000	3153679120		209312800					292161880			56735260		16900000			12449272			2600000		58079560		607862500.4		406071293.2	241829560	295073520	34507320	515211720	3624125520	89900000	62660000	2059016360							131455308.9		109808800			206512480		121976000						75000000									110211320			42800000			548302680				3500000	69100000	184796000						10100000	19370000		394268400				8600000	210030680	31835560	2103079422		353954840	36256169.6	212806686.7					307832196	7430000	135311200	109064000						733136000	3220192.878								513943320	101190000	50600000	433200000		32500000	44455719.99									17869541.58			757918679.9				22048440		11260000	10100000	576683160					24500000	61708000	178272880						186186760	16878647999			745526800								774939999.9	32089880
1/1/1964			44619680					153293600				1906895200	1319442160		12678000	2227003946	9949999.999	13550000									22546124.32	245487600					7132999.999	2893026720		3330443200		88838080		40100000	35890000	652999.9993	104193840			18612133.52					66210000		7895954159			645440720	41420320	194924560					51638400	223742480			1515235680		61174240			384130412.3		5736854799			9292999.999	2322326240		125519200		5850000			281585440			59588720		16550000			19699408			2100000		25003680		499145125.8		446065243.2	191508480	251168400	43818480	545175920	3831167440	96950000	77080000	2020624000							136361055.5		110363200			233028080		171922960						52000000									53111520			51080000			587594480				2700000	71500000	214887632						10450000	19090000		424424000				7549999.999	228053520	38926080	2351701688		387005120	49119654.4	257817310					254226648	5130000	160421120	123073840						872702800	5470284.318						4150000		585032480	71100000	38700000	431000000		20444000	53500663.99									19967877.22			965187999.9				33070160		14903000	11520000	660812240					29940000	32112337.84	142339680						186682640	16725493599			832985200						5680000		706829199.9	39834960
1/1/1965			45434560					236095840				1565328400	1314046080		9220000	2339311318	10150000	14050000			22700000						36572986.48	484251120					10163000	3040845600		3454279200		137535120		61800000	26700000	6192999.999	96120000			19822133.52					83710000		7445164399			587293839.9	50820320	184224560					46038400	193777600			1424897520		77165920			289463318.6	21820000	6359615199			17633000	3011764240		115809200		7950000			250520560			67859816		20120000			23388872			1400000		21003680		600850886.2		409042000	251965520	235056320	53918480	643181280	4808141119	95840000	139846640	2153610240		19950000					146287069.5		124077600			251644720		245992080						73000000									98871999.99			49882000			538031679.9				2800000	78900000	180797632						9849999.999	19950000	25227000	469857200				3049999.999	239053520	57326320	2419709454		476020480	59519654.4	173296693.8					230344688	5730000	174910400	193590320						940085200	10270284.32						3690000		726260320	59700000	38000000	430100000		22640000	56514895.99									24676877.22			972237519.9				45070160		13623000	17520000	739800720					28540000	36013013.52	141387680						179141120	15498323199			819985200						3570000		600866800	21395680	203871760
1/1/1966			47114050					216174480				1569256000	1336543420		7040000	2357973397	9669999.999	16270000			21545600						41219613.48	425796620	12110000				6422999.999	2707536060		3560372300		172330290		62400000	33700000	6182999.999	77125660			17096303.49					98210000		8052102609			597676339.9	43626340	273085970					61158146.51	156816540			1257578030		78676090			188909152.8	18040000	6761305399			11563000	3109538540		111130400		9450000			273284990			60797009		16900000			27389089			2200000		23011660		609694584.5		494124756.6	268925660	324963040	58050510	621344090	4923709109	87639999.99	167673430	2121519420		52400000					245208677.3		164674800			282747660		339427460						43000000									86813999.99			51482000			564571659.9				400000	90200000	184364834						7769999.999	19280000	21410000	494285700				3769999.999	215353490	58109750	2458087677		527729180	44983566.82	179191433.6					208453006	5930000	155236310	193733830						1080200300	11540444.34			17973917.97			5130000		747859490	57200000	46200000	394300000		20000000	56991179									27048178.97			1028422000				53108170		7372999.999	18620000	923957800					29690000	27920613.49	131543660		61300000	40910000			177305340	14953446599			778787399.9						2730000		834477999.9	20543810	217613970	87074890
1/1/1967			38528800					727208400				1365680000	1488335600		5050000	2597706013	7999999.999	18400000			28342400						37943132.79	200149600	9250000				4752999.999	2722684400		3713752000		126567200		71100000	24350000	2622999.999	83187200			18166899.2					103460000		8176361999			535507199.9	32427200	442988000					69213239.67	196019200			1104098400		64681200			184204841.9	18370000	7023697999			9432999.999	2702371600		82732000		8370000			286873600			65202720		18850000			25089680			1900000		6012800		663764119.8		439183008	325062800	369156000	35260800	714857200	5476253199	85039999.99	244064400	2032436400		75830000					356582296.8		184684400			282162800		385446800						55000000									75719999.99			42882000			586953599.9				1000000	89500000	155498720						8799999.999	13280000	22500000	457018000				1099999.999	112359200	32089600	2629210307		677214399.9	46384505.6	218554188.8					165486080	6730000	125860400	180332800						1237714000	12260467.2			27476919.48			6690000		761879200	54700000	37200000	495600000		15900000	54871040									27143651.69			841824518.6				74113600		982999.9991	22320000	1008984000					30300000	40123433.6	119539200		61710000	34930000			162627200	14898991999			873901999.9						2160000		781747999.9	67608399.99	187327600	89052800
1/1/1968			45589800					780833299.9				1493121700	1650819000		2950265.9	2486675901	10020000	23430000			51630300	44400000					41648875.1	266422900	15520000				4697251.473	3215954000		4810243000		217433700		80700000	40850759.32	7407366.397	179123400			20946024.9					158823200		10843279098			471330199.9	36203400	532109700					62499909.98	187040600			1303543700		67958899.99			346987405.3	18490000	4965133000			5466940.315	2712427900		97004000		6550000			349516700			69479930		23550000			31572460			2500000		87276600		730352744.9		560314166	322136600	490617600	27955100	672002300	5918045599	120240000	290247400	2976246800		100050000					391778858.3		196544900			388526600		555590300						52000000									89140000			30582000			689436599.9				600000	153323100	169002340						7419999.999	16340000	22510000	529201000				2719999.999	121194900	48613700	2798136288		707150099.9	65316279.5	161709283.2					258389140	11100000	115115400	173204900						1531644000	12235783.4			33467295.47			5780000		684960000	47700000	16000000	712420000		27500000	65447490									31456378.01			859632541.7				72600000		1022999.999	25520000	1038538000					49410000	36228000	142104900		77540000	49030000			193197100	17857179998			1000929000						3060000		1716029000	140290200	201207700	37213800
1/1/1969			41373600					538309999.9				1262842800	1541024000		7453827.2	2395121264	7469999.999	25780000			67942400	26070000					42066867.2	656773200	12470000				1196210.62	3111279599		4440248000		343660800		73900000	48085555.72	5741698.4	221153600			29156899.2					176995600		7152711600			446662400	39827200	410627600					65130089.86	145124800			1285926800		71858799.99			327209700.2	26810000	3853168000			8286353.37	2535411000		71832000		5990000			317766800			74234400		20550000			30929680			3500000		121712800		927764119.8		691353007.9	310902800	477546400	38520800	412671200	5061676399	117940000	262689200	3656226000		169660000					552934355.3		182617600			348892800		918062400						40000000									114120000			19382000			663370799.9				1100000	139294800	129698720						3569999.999	33050000	21010000	619980000				6669999.999	132459200	44212800	2540014731		710409599.9	83753427.2	209849305.6					332933120	14100000	167156800	121267200						1449770000	10330467.2			35159531.17			3010000		607180000	36400000	6199999.998	826730000		35400000	63874720									32474000.14			696993134.6				59160000		1274999.999	26320000	984984000					44720000	36924566.4	245673600		80260000	52270000			185037200	17031415997			935071999.9						5150000		1404632000	199438800	369381600	56120400
